id_news,country,news,time,title_trans,type_news,cnn_prediction
ecuador_bbc_2015_0,Ecuador,bbc,2015-12-03,Ecuador: approve amendments to the Constitution including ...,global,polit
ecuador_bbc_2015_1,Ecuador,bbc,2015-11-13,Why Ecuador has become the sensation of the ...,global,polit
ecuador_bbc_2015_2,Ecuador,bbc,2015-08-15,Ecuador on alert for activity of the Cotopaxi volcano,global,health
ecuador_bbc_2015_3,Ecuador,bbc,2015-06-26,Ecuador: in Quito and Guayaquil march again against Rafael ...,global,health
ecuador_bbc_2015_5,Ecuador,bbc,2015-11-20,Ecuador: first prison sentence for a case of racism in ...,global,economi
ecuador_bbc_2015_8,Ecuador,bbc,2015-08-24,Ecuador: investigating whether found in the Chimborazo bodies are ...,global,crime
ecuador_bbc_2015_10,Ecuador,bbc,2015-11-03,Ecuador: Quito centenarians photographs from which erased a ...,global,polit
ecuador_bbc_2015_11,Ecuador,bbc,2015-09-13,"Gerald Oropeza, the ""Tony Montana in Peru"", was delivered after ...",global,polit
ecuador_bbc_2015_12,Ecuador,bbc,2015-08-22,"Argentina will return 4,500 archaeological pieces to Ecuador and Peru",global,health
ecuador_bbc_2015_13,Ecuador,bbc,2015-09-03,Why Ecuador and Venezuela want to get away to the economy ...,global,educ
ecuador_bbc_2015_20,Ecuador,bbc,2015-11-25,The reasons for Nicaragua to block an agreement on ...,global,educ
ecuador_bbc_2015_23,Ecuador,bbc,2015-11-18,Russia 2018 qualifiers: Argentina achieved its first win and ...,global,polit
ecuador_bbc_2015_27,Ecuador,bbc,2015-12-31,10 winners and losers in the global economy in 2015,global,economi
ecuador_bbc_2015_28,Ecuador,bbc,2015-09-29,The best and worst countries to connect to the Internet on 4G,global,sports
ecuador_bbc_2015_31,Ecuador,bbc,2015-08-20,The drama of the millions of children left behind by their parents in ...,global,polit
ecuador_bbc_2015_32,Ecuador,bbc,2015-10-23,"""Calato"", ""bagayo"" and ""to throw"" a dictionary to understand each other better ...",global,polit
ecuador_bbc_2015_33,Ecuador,bbc,2015-10-12,6 Things that unite us as Latin Americans beyond language (and ...,global,sports
ecuador_bbc_2015_35,Ecuador,bbc,2015-11-20,"""Rafters on land"": the odyssey of thousands of Cubans ...",global,crime
ecuador_bbc_2015_37,Ecuador,bbc,2015-08-19,Internet connections faster and slower in Latin America,global,economi
ecuador_bbc_2015_38,Ecuador,bbc,2015-07-05,How reform is the pope Francisco ?: open fronts ...,global,polit
ecuador_bbc_2015_39,Ecuador,bbc,2015-08-19,Who wins and who loses with the dollar's rise in Latin America?,global,polit
ecuador_bbc_2015_41,Ecuador,bbc,2015-12-04,"""I think a total setback"": the unprecedented debate by Cuba ...",global,economi
ecuador_bbc_2015_42,Ecuador,bbc,2015-08-28,The five Latin American countries that do not support an agreement on ...,global,health
ecuador_bbc_2015_45,Ecuador,bbc,2015-12-01,Cuba restricts the output of its doctors abroad,global,economi
ecuador_bbc_2015_47,Ecuador,bbc,2015-11-02,"Peru and prepares for the ""worst"" El Niño in 60 ...",global,health
ecuador_bbc_2015_48,Ecuador,bbc,2015-07-21,The singular case of referral of HIV in a young man who left the ...,global,economi
ecuador_bbc_2015_55,Ecuador,bbc,2015-10-20,What are the exporting and Latin American countries invest more ...,global,polit
ecuador_bbc_2015_58,Ecuador,bbc,2015-12-30,Syrian refugee who learned to cook by Skype with her mother and ...,global,economi
ecuador_bbc_2015_59,Ecuador,bbc,2015-09-09,"Fossils, dead, jewelry and even an airplane: the surprises the ...",global,polit
ecuador_bbc_2015_60,Ecuador,bbc,2015-12-11,A glimpse through the windows of our readers,global,polit
ecuador_bbc_2015_61,Ecuador,bbc,2015-07-09,Patagonia to Mexico: the works of controversial Brazilian giant ...,global,crime
ecuador_bbc_2015_62,Ecuador,bbc,2015-07-06,The innovative device to combat clubfoot in children,global,economi
ecuador_bbc_2015_64,Ecuador,bbc,2015-09-29,"Peru volcano erupts and releases smoke plume 4,000 ...",global,polit
ecuador_bbc_2015_65,Ecuador,bbc,2015-09-04,glowing images of our readers,global,polit
ecuador_bbc_2015_66,Ecuador,bbc,2015-10-07,Why Dominican Republic is the worst country to die ...,global,crime
ecuador_bbc_2015_68,Ecuador,bbc,2015-10-09,Handmade wonders,global,polit
ecuador_bbc_2015_71,Ecuador,bbc,2015-12-30,The 20 most desired players in the European transfer market,global,sports
ecuador_bbc_2015_74,Ecuador,bbc,2015-09-16,"How banks in Latin America earn more and more, despite the crisis",global,crime
ecuador_bbc_2015_78,Ecuador,bbc,2015-10-02,The incredible shock of a volcano in Patagonia,global,crime
ecuador_bbc_2015_79,Ecuador,bbc,2015-11-23,What can change in South America with Macri and the rotation of Argentina ...,global,economi
ecuador_bbc_2015_80,Ecuador,bbc,2015-08-21,"The list of the top destinations, according to Lonely Planet",global,economi
ecuador_bbc_2015_81,Ecuador,bbc,2015-10-27,Is peace commits to Colombia by the ELN attack?,global,polit
ecuador_bbc_2015_82,Ecuador,bbc,2015-11-27,Our readers share their fireworks,global,economi
ecuador_bbc_2015_84,Ecuador,bbc,2015-10-22,"Voices from Cuba: ""Mules"" the strange way in which many ...",global,crime
ecuador_bbc_2015_85,Ecuador,bbc,2015-09-30,Parthians Tourism: Latin American traveling to give birth to US,global,polit
ecuador_bbc_2015_88,Ecuador,bbc,2015-12-30,3 reasons why NASA believes the child will be so ...,global,polit
ecuador_bbc_2015_90,Ecuador,bbc,2015-07-23,The eight inventions low cost that can save millions of lives,global,sports
ecuador_bbc_2015_91,Ecuador,bbc,2015-11-16,The planet with winds faster than sound,global,crime
ecuador_bbc_2015_92,Ecuador,bbc,2015-12-02,Nicaragua: the Momotombo volcano erupts after 110 ...,global,polit
ecuador_bbc_2015_93,Ecuador,bbc,2015-12-04,4 international conflicts fueled by disputes over oil,global,polit
ecuador_bbc_2015_95,Ecuador,bbc,2015-10-06,"The good or bad for health? Hot pepper,",global,economi
ecuador_bbc_2015_96,Ecuador,bbc,2015-06-30,The risk of contagion from the Greek crisis and how it can affect ...,global,crime
ecuador_bbc_2015_98,Ecuador,bbc,2015-12-17,What does the Federal Reserve to raise the US ...,global,polit
ecuador_bbc_2015_99,Ecuador,bbc,2015-10-02,Modern and deadly aircraft with which Russia seeks to change ...,global,economi
ecuador_bbc_2016_1,Ecuador,bbc,2016-04-20,Ecuador: President Correa announced tax increases for ...,global,crime
ecuador_bbc_2016_2,Ecuador,bbc,2016-05-18,Second 6.8 magnitude quake shakes Ecuador in less than 24 hours,global,sports
ecuador_bbc_2016_3,Ecuador,bbc,2016-03-02,What it is known of the death of the two Argentine tourists ...,global,polit
ecuador_bbc_2016_4,Ecuador,bbc,2016-04-18,Are they connected the earthquakes in Ecuador and Japan?,global,sports
ecuador_bbc_2016_5,Ecuador,bbc,2016-08-18,Ecuador condemns 40 years in prison for the murderers of the two ...,global,educ
ecuador_bbc_2016_6,Ecuador,bbc,2016-03-11,"So Montañita, the ""hidden paradise"" of Ecuador where they were ...",global,economi
ecuador_bbc_2016_7,Ecuador,bbc,2016-10-19,The reasons he gave Ecuador to recognize that restricted access ...,global,polit
ecuador_bbc_2016_8,Ecuador,bbc,2016-04-08,Chimborazo volcano higher than Everest Ecuador (if measured ...,global,crime
ecuador_bbc_2016_9,Ecuador,bbc,2016-05-06,Ecuador: the two young Argentine were killed in Montañita ...,global,health
ecuador_bbc_2016_11,Ecuador,bbc,2016-02-05,Rafael Correa dismisses the High Command of the Armed Forces ...,global,polit
ecuador_bbc_2016_12,Ecuador,bbc,2016-02-06,Ecuador seeks clarification Turkey for incident with protesters ...,global,polit
ecuador_bbc_2016_13,Ecuador,bbc,2016-09-23,"Diane and Fernando, the pair of transsexuals Ecuador in which the ...",global,economi
ecuador_bbc_2016_14,Ecuador,bbc,2016-02-26,"Cobia, predatory fish that escaped from a farm in Ecuador and ...",global,polit
ecuador_bbc_2016_17,Ecuador,bbc,2016-04-18,Was Ecuador prepared to face an earthquake?,global,economi
ecuador_bbc_2016_18,Ecuador,bbc,2016-01-25,Images of a sloth in Ecuador that went around the ...,global,educ
ecuador_bbc_2016_19,Ecuador,bbc,2016-04-01,The lesbian couple fighting in Ecuador for her daughter to have ...,global,crime
ecuador_bbc_2016_20,Ecuador,bbc,2016-04-19,The anguish of cities and villages that few speak after the ...,global,crime
